1,Mohammed,Abraham,Mr,2 Jean Drive
2,Abby,Smith,Ms,514 Mackenzie St
3,Refiloe,Molete,Mrs,6 Joker St
4,Corlize,van Heerden,Ms,12 Lotus Ave
5,Simone,Fourie,Dr,2 Duncan St
6,Samantha,Hanna,Mrs,34 Lynwood St
7,Rebecca,Duncan,Ms,111 Bondev Drive
8,Gary,Lou,Mr,5555 Rands St
9,Ronald,Wang,Prof,65 Quinton Ave
10,Fatima,Vallee,Ms,987 Sable Road
11,Thando,Moloi,Dr,9 Lira St
12,Sphephle,Mangena,Ms,3333 Warden St
13,Daniel,Alberts,Mrs,3 Peso St
14,Jason,Mackenzie,Mr,98 Theo St
15,Michael,Nouwens,Mr,18 De Villiers St
